LOAN_ID,ACT_PERIOD,CHANNEL,ORIG_RATE,ORIG_UPB,ORIG_TERM,ORIG_DATE,FIRST_PAY,OLTV,OCLTV,NUM_BO,DTI,CSCORE_B,CSCORE_C,FIRST_FLAG,PURPOSE,PROP,NO_UNITS,OCC_STAT,STATE,MSA,MI_PCT,MI_TYPE,HOMEREADY_PROGRAM_INDICATOR,RELOCATION_MORTGAGE_INDICATOR,PROPERTY_INSPECTION_WAIVER_INDICATOR,HIGH_BALANCE_LOAN_INDICATOR,PREPAID_FLAG,DEFAULT_FLAG
98836995,2020-01-01,R,3.625,200000.0,360,2019-12-01,2020-02-01,72,72,1,17.0,786.0,0.0,N,P,SF,1,P,MI,19820,0.0,0.0,N,N,A,N,0,0
98837001,2020-01-01,B,3.875,474000.0,360,2019-12-01,2020-03-01,75,75,2,27.0,746.0,755.0,N,R,SF,1,P,MI,19820,0.0,0.0,N,N,W,N,1,0
98837003,2020-01-01,R,4.75,134000.0,360,2019-12-01,2020-02-01,80,80,1,24.0,682.0,0.0,N,P,SF,1,P,OH,0,0.0,0.0,N,N,W,N,1,0
98837014,2020-01-01,C,3.875,508000.0,360,2019-10-01,2019-12-01,80,80,2,37.0,784.0,747.0,N,R,SF,1,P,CO,19740,0.0,0.0,N,N,W,N,1,0
98837023,2020-01-01,C,3.75,452000.0,360,2019-11-01,2020-01-01,80,80,1,38.0,763.0,0.0,N,C,SF,1,P,VA,47900,0.0,0.0,N,N,A,N,1,0
98837035,2020-01-01,C,4.25,153000.0,360,2020-01-01,2020-03-01,97,97,1,46.0,744.0,0.0,Y,P,CO,1,P,CO,19740,25.0,1.0,Y,N,A,N,0,0
98837052,2020-01-01,B,4.75,150000.0,360,2019-10-01,2019-12-01,95,95,1,36.0,718.0,0.0,Y,P,SF,1,P,GA,12060,30.0,1.0,N,N,A,N,0,0
98837057,2020-01-01,B,3.912,203000.0,360,2020-01-01,2020-03-01,90,90,1,48.0,745.0,0.0,N,P,CO,1,P,CO,19740,25.0,1.0,Y,N,A,N,0,0
98837058,2020-01-01,C,3.875,158000.0,360,2019-12-01,2020-01-01,90,90,2,44.0,750.0,755.0,N,P,CO,1,P,OH,31900,25.0,1.0,N,N,A,N,1,0
98837061,2020-01-01,R,3.75,168000.0,360,2019-12-01,2020-03-01,85,85,1,49.0,768.0,0.0,N,R,PU,1,P,GA,12060,12.0,1.0,Y,N,A,N,0,0
98837067,2020-01-01,R,3.75,314000.0,360,2019-12-01,2020-02-01,90,90,1,41.0,777.0,0.0,N,R,SF,1,P,OH,18140,25.0,1.0,N,N,W,N,1,0
98837073,2020-01-01,R,4.125,310000.0,360,2019-11-01,2020-01-01,79,79,2,41.0,760.0,734.0,N,C,PU,1,P,VA,47900,0.0,0.0,N,N,A,N,1,0
98837074,2020-01-01,R,3.25,102000.0,120,2019-11-01,2020-01-01,39,39,2,19.0,798.0,797.0,N,R,SF,1,P,OH,19430,0.0,0.0,N,N,A,N,0,0
98837080,2020-01-01,R,4.5,256000.0,360,2019-11-01,2020-01-01,69,69,1,35.0,733.0,0.0,N,C,PU,1,I,MI,19820,0.0,0.0,N,N,A,N,1,0
98837084,2020-01-01,R,4.125,414000.0,360,2019-12-01,2020-02-01,75,75,2,24.0,734.0,736.0,N,P,PU,1,I,CO,22660,0.0,0.0,N,N,A,N,0,0
98837091,2020-01-01,R,4.375,389000.0,341,2019-11-01,2020-01-01,71,71,2,38.0,738.0,783.0,N,R,PU,1,P,CO,19740,0.0,0.0,N,N,W,N,1,0
98837100,2020-01-01,C,3.75,123000.0,360,2020-01-01,2020-03-01,74,74,2,21.0,794.0,777.0,N,R,SF,1,P,MI,0,0.0,0.0,N,N,A,N,0,0
98837102,2020-01-01,C,3.75,380000.0,360,2019-12-01,2020-02-01,75,75,1,25.0,801.0,0.0,N,C,SF,1,P,VA,47900,0.0,0.0,N,N,A,N,1,0
98837105,2020-01-01,C,4.375,484000.0,360,2019-12-01,2020-02-01,72,72,1,49.0,710.0,0.0,N,C,PU,1,P,CO,19740,0.0,0.0,N,N,A,N,1,0
98837106,2020-01-01,R,3.99,170000.0,360,2019-12-01,2020-02-01,69,69,2,47.0,742.0,785.0,N,R,SF,1,P,GA,0,0.0,0.0,N,N,W,N,1,0
98837111,2020-01-01,C,3.625,118000.0,360,2019-12-01,2020-02-01,97,97,1,31.0,745.0,0.0,Y,P,SF,1,P,OH,18140,25.0,1.0,Y,N,A,N,0,0
98837112,2020-01-01,R,3.625,272000.0,360,2019-12-01,2020-02-01,95,95,2,37.0,791.0,790.0,N,P,PU,1,P,GA,12060,30.0,1.0,N,N,A,N,1,0
98837118,2020-01-01,R,3.375,640000.0,360,2019-12-01,2020-02-01,86,86,2,37.0,776.0,797.0,N,R,PU,1,P,VA,47900,25.0,1.0,N,N,W,Y,1,0
98837119,2020-01-01,R,3.875,246000.0,360,2019-12-01,2020-02-01,87,87,1,35.0,787.0,0.0,N,P,PU,1,P,OH,45780,25.0,1.0,N,N,A,N,0,0
98837123,2020-01-01,C,4.125,206000.0,360,2020-01-01,2020-03-01,95,95,2,25.0,796.0,785.0,N,P,SF,1,P,MI,0,30.0,1.0,N,N,A,N,1,0
98837133,2020-01-01,R,3.875,184000.0,360,2019-11-01,2020-01-01,94,94,1,29.0,760.0,0.0,N,R,SF,1,P,MI,24340,25.0,1.0,Y,N,A,N,1,0
98837139,2020-01-01,B,3.99,457000.0,360,2020-01-01,2020-03-01,94,94,2,43.0,727.0,769.0,N,P,PU,1,P,CO,19740,30.0,1.0,N,N,A,N,1,0
98837162,2020-01-01,R,3.75,252000.0,360,2020-01-01,2020-03-01,95,95,1,39.0,780.0,0.0,N,P,SF,1,P,GA,0,30.0,1.0,N,N,A,N,1,0
98837166,2020-01-01,R,3.25,128000.0,180,2019-12-01,2020-02-01,80,80,1,24.0,804.0,0.0,N,P,SF,1,P,OH,19430,0.0,0.0,N,N,A,N,1,0
98837167,2020-01-01,R,3.25,52000.0,120,2019-12-01,2020-02-01,31,31,1,32.0,763.0,0.0,N,R,SF,2,P,OH,17140,0.0,0.0,N,N,A,N,0,0
98837169,2020-01-01,R,4.25,270000.0,360,2019-11-01,2020-01-01,90,90,2,40.0,785.0,798.0,N,P,CO,1,S,CO,14500,25.0,1.0,N,N,A,N,0,0
98837179,2020-01-01,R,3.75,384000.0,360,2019-12-01,2020-02-01,94,94,2,43.0,796.0,776.0,Y,P,PU,1,P,CO,22660,30.0,1.0,N,N,A,N,1,0
98837180,2020-01-01,C,4.375,315000.0,360,2019-11-01,2020-01-01,93,93,1,37.0,703.0,0.0,N,R,PU,1,P,CO,19740,30.0,1.0,N,N,A,N,1,0
98837185,2020-01-01,C,4.0,276000.0,360,2019-12-01,2020-02-01,85,85,2,40.0,787.0,766.0,N,P,SF,1,S,CO,17820,12.0,1.0,N,N,A,N,0,0
98837191,2020-01-01,R,4.125,280000.0,360,2019-12-01,2020-02-01,80,80,2,40.0,790.0,784.0,N,P,PU,1,P,OH,17140,0.0,0.0,N,N,A,N,0,0
98837210,2020-01-01,R,3.5,255000.0,312,2019-12-01,2020-02-01,68,68,1,43.0,770.0,0.0,N,R,SF,1,P,VA,47260,0.0,0.0,N,N,W,N,1,0
98837212,2020-01-01,C,4.375,351000.0,360,2019-11-01,2020-01-01,83,83,1,44.0,696.0,0.0,N,R,PU,1,P,CO,19740,12.0,1.0,N,N,A,N,0,1
98837214,2020-01-01,R,3.75,50000.0,360,2019-11-01,2020-01-01,97,97,1,29.0,766.0,0.0,Y,P,SF,1,P,MI,19820,25.0,1.0,Y,N,A,N,0,0
98837217,2020-01-01,C,3.875,318000.0,360,2019-12-01,2020-02-01,95,95,2,49.0,705.0,767.0,N,P,SF,1,P,GA,12060,30.0,1.0,N,N,A,N,0,0
98837220,2020-01-01,B,3.875,289000.0,360,2019-12-01,2020-02-01,85,85,2,27.0,792.0,799.0,N,P,PU,1,P,CO,17820,12.0,2.0,N,N,A,N,0,0
98837228,2020-01-01,C,3.75,184000.0,360,2019-12-01,2020-02-01,97,97,1,43.0,779.0,0.0,Y,P,SF,1,P,VA,0,25.0,1.0,Y,N,A,N,0,0
98837237,2020-01-01,R,3.75,433000.0,360,2019-12-01,2020-02-01,85,85,1,42.0,804.0,0.0,N,R,SF,1,P,OH,17460,12.0,1.0,N,N,W,N,0,0
98837238,2020-01-01,C,3.875,148000.0,360,2020-01-01,2020-03-01,90,90,1,49.0,755.0,0.0,N,R,SF,1,P,OH,19430,25.0,1.0,Y,N,A,N,1,0
