LOAN_ID,ACT_PERIOD,CHANNEL,ORIG_RATE,ORIG_UPB,ORIG_DATE,FIRST_PAY,OLTV,NUM_BO,DTI,CSCORE_B,FIRST_FLAG,PURPOSE,PROP,NO_UNITS,OCC_STAT,STATE,MSA,HOMEREADY_PROGRAM_INDICATOR,RELOCATION_MORTGAGE_INDICATOR,PROPERTY_INSPECTION_WAIVER_INDICATOR,HIGH_BALANCE_LOAN_INDICATOR,PREPAID_FLAG,DEFAULT_FLAG,MI,TERM,DTI_LTV,DTI_UPB
98838095,2020-01-01,C,4.0,512000.0,2019-11-01,2020-01-01,90,1,43.0,711.0,0,P,PU,1,P,CO,19740,0,0,A,1,0,1,1,30y,0.4777777777777778,8.3984375e-05
98838097,2020-01-01,R,3.5,361000.0,2019-12-01,2020-02-01,85,2,32.0,777.0,0,P,SF,1,S,VA,13980,0,0,A,0,0,0,1,30y,0.3764705882352941,8.864265927977839e-05
98838098,2020-01-01,C,3.75,291000.0,2019-11-01,2020-01-01,87,2,21.0,805.0,1,P,PU,1,P,MI,19820,0,0,A,0,1,0,1,30y,0.2413793103448276,7.216494845360825e-05
98838105,2020-01-01,R,4.25,280000.0,2020-01-01,2020-03-01,95,2,48.0,739.0,0,P,SF,1,P,MI,0,0,0,A,0,1,0,1,30y,0.5052631578947369,0.00017142857142857143
98838111,2020-01-01,R,3.75,175000.0,2019-12-01,2020-02-01,90,1,31.0,793.0,0,P,SF,1,P,MI,24340,0,0,A,0,0,0,1,30y,0.34444444444444444,0.00017714285714285713
98838118,2020-01-01,R,3.25,241000.0,2019-12-01,2020-02-01,66,2,24.0,779.0,0,R,SF,1,P,OH,17140,0,0,A,0,1,0,0,15y,0.36363636363636365,9.95850622406639e-05
98838120,2020-01-01,R,3.75,405000.0,2019-12-01,2020-02-01,90,2,32.0,808.0,0,P,SF,1,P,CO,19740,0,0,A,0,1,0,1,30y,0.35555555555555557,7.901234567901235e-05
98838124,2020-01-01,R,3.25,162000.0,2019-12-01,2020-02-01,90,1,22.0,766.0,0,R,SF,1,P,MI,19820,0,0,W,0,0,0,1,30y,0.24444444444444444,0.00013580246913580247
98838126,2020-01-01,R,3.99,162000.0,2019-12-01,2020-02-01,87,1,25.0,803.0,0,P,PU,1,P,GA,12060,0,0,A,0,1,0,1,30y,0.28735632183908044,0.00015432098765432098
98838127,2020-01-01,C,3.75,216000.0,2019-12-01,2020-02-01,90,1,42.0,721.0,0,R,SF,1,P,VA,40060,1,0,A,0,1,0,1,30y,0.4666666666666667,0.00019444444444444443
98838152,2020-01-01,C,3.75,245000.0,2019-12-01,2020-02-01,90,2,35.0,803.0,0,P,SF,1,P,GA,12260,0,0,A,0,0,0,1,30y,0.3888888888888889,0.00014285714285714287
98838154,2020-01-01,R,3.875,111000.0,2019-12-01,2020-02-01,75,1,45.0,801.0,0,P,CO,1,P,GA,12060,0,0,A,0,0,0,0,30y,0.6,0.0004054054054054054
98838156,2020-01-01,C,3.875,175000.0,2019-12-01,2020-02-01,80,1,35.0,775.0,1,P,CO,1,P,VA,47900,0,0,A,0,0,0,0,30y,0.4375,0.0002
98838164,2020-01-01,R,3.99,417000.0,2019-12-01,2020-02-01,65,2,38.0,783.0,0,C,PU,1,P,OH,18140,0,0,W,0,0,0,0,30y,0.5846153846153846,9.112709832134293e-05
98838170,2020-01-01,R,4.0,195000.0,2019-12-01,2020-02-01,75,1,43.0,785.0,0,P,CO,1,P,CO,0,0,0,A,0,0,0,0,30y,0.5733333333333334,0.00022051282051282052
98838200,2020-01-01,R,3.875,504000.0,2019-10-01,2019-12-01,90,1,32.0,753.0,1,P,PU,1,P,VA,47900,0,0,A,0,0,0,1,30y,0.35555555555555557,6.349206349206349e-05
98838207,2020-01-01,C,3.75,65000.0,2019-12-01,2020-02-01,95,1,42.0,739.0,1,P,CO,1,P,OH,10420,1,0,A,0,0,0,1,30y,0.4421052631578947,0.0006461538461538461
98838213,2020-01-01,C,4.375,145000.0,2019-12-01,2020-02-01,94,2,25.0,725.0,1,P,SF,1,P,OH,0,0,0,A,0,0,0,1,30y,0.26595744680851063,0.00017241379310344826
98838216,2020-01-01,B,3.675,427000.0,2020-01-01,2020-03-01,95,1,45.0,748.0,1,P,SF,1,P,GA,12060,0,0,A,0,0,0,1,30y,0.47368421052631576,0.0001053864168618267
98838218,2020-01-01,R,3.875,200000.0,2019-12-01,2020-02-01,95,1,46.0,722.0,0,P,SF,1,P,OH,17460,0,0,A,0,0,0,1,30y,0.4842105263157895,0.00023
98838223,2020-01-01,B,3.875,236000.0,2019-12-01,2020-02-01,95,1,45.0,724.0,1,P,MH,1,P,CO,24540,1,0,A,0,0,0,1,30y,0.47368421052631576,0.00019067796610169492
98838224,2020-01-01,R,3.625,136000.0,2019-11-01,2020-01-01,90,1,32.0,752.0,0,P,SF,1,S,GA,12020,0,0,A,0,0,0,1,30y,0.35555555555555557,0.00023529411764705883
98838250,2020-01-01,R,3.25,74000.0,2019-11-01,2020-01-01,57,1,19.0,818.0,0,R,SF,1,P,OH,17140,0,0,A,0,0,0,0,other,0.3333333333333333,0.0002567567567567568
98838251,2020-01-01,R,3.25,263000.0,2019-12-01,2020-02-01,74,1,21.0,797.0,0,R,SF,1,P,OH,17140,0,0,A,0,1,0,0,15y,0.28378378378378377,7.984790874524715e-05
98838252,2020-01-01,R,3.5,149000.0,2019-12-01,2020-02-01,67,2,29.0,750.0,0,R,SF,1,P,OH,19430,0,0,A,0,0,0,0,other,0.43283582089552236,0.00019463087248322146
98838267,2020-01-01,R,3.625,113000.0,2019-12-01,2020-02-01,97,1,33.0,784.0,1,P,SF,1,P,OH,19430,1,0,A,0,0,0,1,30y,0.3402061855670103,0.0002920353982300885
98838277,2020-01-01,C,3.99,315000.0,2019-12-01,2020-02-01,83,1,42.0,707.0,0,R,SF,1,P,CO,19740,0,0,A,0,1,0,1,30y,0.5060240963855421,0.00013333333333333334
98838278,2020-01-01,C,3.875,313000.0,2019-12-01,2020-02-01,95,1,33.0,790.0,1,P,SF,1,P,GA,12060,0,0,A,0,0,0,1,30y,0.3473684210526316,0.00010543130990415335
98838283,2020-01-01,R,4.25,86000.0,2020-01-01,2020-03-01,95,1,47.0,723.0,0,P,SF,1,P,VA,47260,0,0,A,0,1,0,1,30y,0.49473684210526314,0.0005465116279069767
98838290,2020-01-01,R,3.625,294000.0,2019-12-01,2020-02-01,66,1,17.0,759.0,0,R,SF,1,P,CO,19740,0,0,W,0,1,0,0,30y,0.25757575757575757,5.782312925170068e-05
98838292,2020-01-01,C,4.125,430000.0,2019-11-01,2020-01-01,74,1,41.0,803.0,0,P,PU,1,P,VA,47900,0,0,A,0,0,0,0,30y,0.5540540540540541,9.534883720930233e-05
98838300,2020-01-01,R,3.625,176000.0,2019-12-01,2020-02-01,61,1,26.0,816.0,0,R,PU,1,P,GA,0,0,0,W,0,1,0,0,30y,0.4262295081967213,0.00014772727272727274
98838302,2020-01-01,R,3.875,196000.0,2020-01-01,2020-03-01,80,1,42.0,765.0,0,R,SF,1,P,OH,0,0,0,W,0,1,0,0,other,0.525,0.00021428571428571427
98838304,2020-01-01,B,3.75,229000.0,2020-01-01,2020-03-01,75,1,29.0,744.0,0,C,PU,1,P,CO,24540,0,0,A,0,1,0,0,30y,0.38666666666666666,0.00012663755458515284
98838312,2020-01-01,R,3.875,339000.0,2019-12-01,2020-02-01,68,2,32.0,674.0,0,R,SF,1,P,CO,19740,0,0,W,0,1,0,0,30y,0.47058823529411764,9.43952802359882e-05
98838318,2020-01-01,C,3.75,111000.0,2019-11-01,2020-01-01,97,1,43.0,705.0,1,P,SF,1,P,GA,12060,1,0,A,0,0,0,1,30y,0.44329896907216493,0.0003873873873873874
98838322,2020-01-01,R,3.625,74000.0,2019-11-01,2020-01-01,97,1,46.0,745.0,1,P,SF,1,P,OH,0,0,0,A,0,1,0,1,30y,0.4742268041237113,0.0006216216216216216
98838339,2020-01-01,C,3.625,272000.0,2019-11-01,2020-01-01,84,2,33.0,746.0,0,R,SF,1,P,VA,47260,0,0,A,0,1,0,1,30y,0.39285714285714285,0.0001213235294117647
