,CHANNEL,FIRST_FLAG,PURPOSE,PROP,OCC_STAT,STATE,MSA,HOMEREADY_PROGRAM_INDICATOR,RELOCATION_MORTGAGE_INDICATOR,PROPERTY_INSPECTION_WAIVER_INDICATOR,HIGH_BALANCE_LOAN_INDICATOR,MI,TERM,CSCORE_B,DTI,OLTV,ORIG_RATE,ORIG_UPB,NUM_BO,NO_UNITS,DTI_LTV,DTI_UPB
31924,R,1,P,PU,P,CO,22660,0,0,A,0,1,30y,760.0,20.0,95,4.125,413000.0,1,1,0.21052631578947367,4.842615012106537e-05
69866,R,1,P,SF,P,GA,12060,0,0,A,0,1,30y,757.0,28.0,97,3.875,160000.0,2,1,0.28865979381443296,0.000175
76028,B,0,P,PU,P,CO,19740,0,0,W,0,0,30y,791.0,38.0,41,3.875,260000.0,2,1,0.926829268292683,0.00014615384615384615
75120,R,1,P,CO,P,VA,40060,1,0,A,0,0,30y,797.0,20.0,70,3.625,115000.0,1,1,0.2857142857142857,0.00017391304347826088
74046,R,0,C,SF,P,OH,0,0,0,A,0,0,30y,763.0,45.0,80,3.625,180000.0,1,1,0.5625,0.00025
43036,C,0,P,SF,P,VA,44420,0,0,A,0,0,30y,701.0,42.0,80,3.875,134000.0,1,1,0.525,0.0003134328358208955
89276,R,0,P,SF,P,MI,19820,0,0,A,0,1,30y,784.0,50.0,95,3.99,409000.0,1,1,0.5263157894736842,0.00012224938875305622
38995,C,0,P,SF,I,VA,40060,0,0,A,0,0,30y,745.0,37.0,75,5.625,56000.0,2,1,0.49333333333333335,0.0006607142857142857
38087,C,0,C,SF,I,CO,19740,0,0,A,0,0,30y,759.0,49.0,75,4.99,285000.0,1,1,0.6533333333333333,0.0001719298245614035
85751,C,0,R,PU,P,GA,12060,0,0,W,0,1,30y,799.0,28.0,89,3.375,380000.0,2,1,0.3146067415730337,7.368421052631579e-05
47205,R,0,R,SF,P,OH,49660,0,0,W,0,0,30y,781.0,50.0,74,3.99,209000.0,1,1,0.6756756756756757,0.00023923444976076556
2981,C,0,P,PU,P,CO,19740,0,0,A,0,0,30y,684.0,47.0,70,3.5,270000.0,1,1,0.6714285714285714,0.00017407407407407408
70712,R,0,C,SF,P,CO,17820,0,0,A,0,0,15y,665.0,40.0,50,3.5,171000.0,2,1,0.8,0.00023391812865497077
21775,C,0,C,SF,I,VA,40060,0,0,A,0,0,30y,771.0,44.0,75,4.625,128000.0,1,1,0.5866666666666667,0.00034375
83912,R,0,R,SF,P,MI,19820,0,0,W,0,0,other,781.0,39.0,46,3.5,138000.0,2,1,0.8478260869565217,0.0002826086956521739
63821,C,0,R,SF,P,MI,19820,0,0,W,0,1,30y,787.0,19.0,84,3.75,216000.0,2,1,0.2261904761904762,8.796296296296296e-05
44854,B,0,R,PU,P,CO,19740,0,0,A,1,1,30y,780.0,30.0,88,3.69,525000.0,2,1,0.3409090909090909,5.714285714285714e-05
71789,R,0,C,SF,P,VA,49020,0,0,A,0,0,other,729.0,36.0,79,4.25,312000.0,2,1,0.45569620253164556,0.00011538461538461538
23173,R,1,P,CO,P,MI,19820,0,0,A,0,1,30y,761.0,42.0,95,3.375,352000.0,1,1,0.4421052631578947,0.00011931818181818182
70503,R,0,P,PU,P,VA,47900,0,0,A,0,0,30y,773.0,49.0,53,3.625,445000.0,2,1,0.9245283018867925,0.0001101123595505618
67263,B,1,P,SF,P,VA,47900,0,0,A,1,1,30y,808.0,44.0,95,3.25,632000.0,2,1,0.4631578947368421,6.962025316455696e-05
29877,C,0,C,PU,P,CO,19740,0,0,A,0,0,other,745.0,28.0,46,4.0,335000.0,1,1,0.6086956521739131,8.358208955223881e-05
91053,R,1,P,PU,P,GA,12060,0,0,A,0,1,30y,741.0,39.0,97,3.625,320000.0,1,1,0.4020618556701031,0.000121875
82333,R,0,R,CO,P,MI,19820,0,0,W,0,0,15y,799.0,24.0,59,2.99,223000.0,2,1,0.4067796610169492,0.00010762331838565022
76074,R,0,C,PU,P,CO,19740,0,0,W,0,0,15y,729.0,41.0,50,3.75,125000.0,1,1,0.82,0.000328
7105,R,0,P,PU,P,GA,12060,1,0,A,0,1,30y,794.0,40.0,88,3.75,196000.0,2,1,0.45454545454545453,0.00020408163265306123
61350,R,0,R,CO,P,MI,11460,0,0,W,0,0,15y,788.0,25.0,74,3.25,316000.0,2,1,0.33783783783783783,7.911392405063291e-05
36484,R,0,C,PU,P,OH,45780,0,0,A,0,0,30y,773.0,31.0,70,3.625,140000.0,2,1,0.44285714285714284,0.00022142857142857142
44370,R,0,P,PU,P,OH,17140,0,0,A,0,1,30y,730.0,40.0,95,3.75,396000.0,2,1,0.42105263157894735,0.00010101010101010101
9617,R,1,P,PU,P,MI,24340,0,0,A,0,1,30y,764.0,40.0,97,3.75,342000.0,2,1,0.41237113402061853,0.00011695906432748539
481,C,0,R,SF,P,CO,19740,0,0,A,1,0,30y,786.0,30.0,78,3.875,530000.0,2,1,0.38461538461538464,5.660377358490566e-05
1727,R,0,R,CO,S,CO,0,0,0,A,1,0,30y,750.0,47.0,65,3.75,567000.0,3,1,0.7230769230769231,8.289241622574956e-05
4162,B,0,R,PU,P,CO,19740,0,0,W,0,1,30y,752.0,26.0,85,3.5,417000.0,1,1,0.3058823529411765,6.235011990407674e-05
74114,R,0,R,CO,P,MI,19820,0,0,A,0,0,15y,792.0,22.0,70,3.125,280000.0,2,1,0.3142857142857143,7.857142857142857e-05
3616,B,0,C,SF,P,MI,19820,0,0,A,0,0,30y,763.0,40.0,74,4.0,238000.0,1,1,0.5405405405405406,0.0001680672268907563
77186,R,0,C,SF,I,MI,19820,0,0,A,0,0,30y,800.0,46.0,75,4.25,74000.0,1,1,0.6133333333333333,0.0006216216216216216
7960,C,1,P,PU,P,GA,12060,0,0,A,0,1,30y,688.0,37.0,95,3.875,342000.0,1,1,0.3894736842105263,0.00010818713450292398
52895,R,0,R,SF,P,GA,12060,0,0,W,0,0,30y,762.0,32.0,78,3.5,257000.0,2,1,0.41025641025641024,0.0001245136186770428
41250,C,0,P,SF,I,OH,17460,0,0,A,0,0,30y,772.0,20.0,80,4.875,148000.0,2,1,0.25,0.00013513513513513514
92717,R,0,R,CO,P,VA,47900,1,0,A,0,1,30y,771.0,39.0,95,3.625,204000.0,1,1,0.4105263157894737,0.0001911764705882353
50766,C,0,C,SF,P,CO,19740,0,0,A,0,0,30y,692.0,43.0,75,4.125,350000.0,1,1,0.5733333333333334,0.00012285714285714287
36507,C,1,P,SF,P,CO,39380,0,0,A,0,1,30y,768.0,37.0,97,3.875,307000.0,1,1,0.38144329896907214,0.00012052117263843649
17678,R,0,C,PU,P,GA,12060,0,0,A,0,0,30y,626.0,22.0,54,3.75,180000.0,1,1,0.4074074074074074,0.00012222222222222221
7649,R,0,C,SF,I,OH,17460,0,0,A,0,0,30y,717.0,31.0,70,5.625,152000.0,1,2,0.44285714285714284,0.00020394736842105262
104076,R,0,R,PU,P,GA,12060,0,0,A,0,0,30y,801.0,28.0,70,3.5,140000.0,1,1,0.4,0.0002
30304,C,0,P,PU,P,GA,12060,0,0,A,0,1,30y,773.0,36.0,94,3.875,308000.0,1,1,0.3829787234042553,0.00011688311688311689
92456,R,0,C,SF,P,MI,19820,0,0,A,0,0,15y,722.0,49.0,63,3.125,170000.0,2,1,0.7777777777777778,0.00028823529411764703
88134,R,0,R,PU,P,CO,19740,0,0,A,0,1,30y,760.0,31.0,82,3.5,298000.0,1,1,0.3780487804878049,0.00010402684563758389
67183,R,0,C,SF,P,OH,18140,0,0,A,0,0,30y,781.0,37.0,68,4.0,150000.0,1,1,0.5441176470588235,0.0002466666666666667
101866,C,0,C,PU,P,CO,19740,0,0,W,0,0,30y,763.0,34.0,58,4.0,286000.0,1,1,0.5862068965517241,0.00011888111888111889
63986,C,0,P,SF,P,VA,47260,0,0,A,0,1,30y,735.0,44.0,95,4.0,261000.0,2,1,0.4631578947368421,0.0001685823754789272
98819,R,0,R,CO,P,CO,19740,0,0,A,0,0,other,734.0,42.0,80,3.375,396000.0,1,1,0.525,0.00010606060606060606
27357,R,0,R,SF,P,VA,47260,0,0,A,0,0,15y,816.0,20.0,30,3.375,69000.0,2,1,0.6666666666666666,0.0002898550724637681
81928,B,0,R,PU,P,GA,12060,0,0,W,0,0,15y,769.0,32.0,76,3.125,258000.0,1,1,0.42105263157894735,0.00012403100775193799
17515,C,0,C,SF,P,VA,16820,0,0,W,0,0,30y,785.0,29.0,56,3.75,475000.0,2,1,0.5178571428571429,6.105263157894737e-05
103223,R,0,C,SF,P,CO,19740,0,0,W,0,0,other,773.0,24.0,43,3.25,265000.0,1,1,0.5581395348837209,9.056603773584906e-05
75456,R,0,C,SF,P,GA,31420,0,0,W,0,0,other,784.0,28.0,66,3.99,115000.0,1,1,0.42424242424242425,0.00024347826086956522
103447,B,0,R,CO,P,MI,19820,0,0,A,0,0,other,793.0,32.0,68,3.25,182000.0,1,1,0.47058823529411764,0.00017582417582417582
3057,B,0,P,CO,P,MI,19820,0,0,A,0,1,30y,807.0,48.0,95,3.83,266000.0,1,1,0.5052631578947369,0.00018045112781954887
39943,R,0,P,SF,P,GA,16860,0,0,A,0,1,30y,786.0,26.0,95,4.0,190000.0,1,1,0.2736842105263158,0.0001368421052631579
94397,R,0,C,CO,P,MI,19820,0,0,A,0,0,15y,695.0,47.0,80,3.5,100000.0,1,1,0.5875,0.00047
32008,R,1,P,SF,P,GA,12060,0,0,A,0,1,30y,737.0,40.0,95,3.75,403000.0,2,1,0.42105263157894735,9.925558312655087e-05
89847,C,0,P,PU,S,CO,0,0,0,A,0,0,30y,753.0,33.0,72,3.875,484000.0,1,1,0.4583333333333333,6.818181818181818e-05
77528,C,0,P,PU,I,GA,12060,0,0,A,0,0,30y,772.0,40.0,80,4.125,202000.0,2,1,0.5,0.00019801980198019803
4166,C,0,P,SF,I,MI,24340,0,0,A,0,0,30y,791.0,46.0,75,4.99,270000.0,2,1,0.6133333333333333,0.00017037037037037037
85592,C,0,P,SF,P,VA,47900,0,0,A,0,0,30y,801.0,20.0,19,2.875,53000.0,1,1,1.0526315789473684,0.0003773584905660377
16176,R,0,C,SF,P,MI,19820,0,0,W,0,0,30y,766.0,34.0,31,3.875,83000.0,2,1,1.096774193548387,0.0004096385542168675
35979,R,0,R,PU,P,CO,22660,0,0,W,0,0,30y,800.0,25.0,76,3.875,239000.0,1,1,0.32894736842105265,0.00010460251046025104
37474,R,0,R,SF,P,CO,19740,0,0,W,0,0,30y,804.0,17.0,75,3.875,212000.0,2,1,0.22666666666666666,8.018867924528302e-05
44293,R,0,C,SF,P,MI,11460,0,0,A,0,0,15y,719.0,40.0,55,2.875,388000.0,2,1,0.7272727272727273,0.00010309278350515464
40073,R,0,P,CO,P,MI,27100,0,0,A,0,1,30y,770.0,44.0,95,3.875,257000.0,1,1,0.4631578947368421,0.00017120622568093385
69907,C,0,C,SF,P,CO,22660,0,0,A,0,0,30y,788.0,25.0,57,3.75,209000.0,1,1,0.43859649122807015,0.00011961722488038278
102248,C,0,R,CO,P,MI,22420,0,0,A,0,0,15y,791.0,17.0,37,3.125,71000.0,2,1,0.4594594594594595,0.00023943661971830986
66494,R,0,P,SF,P,VA,31340,0,0,A,0,0,30y,763.0,46.0,80,3.625,240000.0,1,1,0.575,0.00019166666666666667
7214,R,1,P,SF,P,CO,19740,0,0,A,0,1,30y,780.0,28.0,90,4.0,477000.0,2,1,0.3111111111111111,5.870020964360587e-05
93066,R,0,P,SF,P,CO,22660,0,0,W,0,0,30y,787.0,41.0,80,3.75,212000.0,2,1,0.5125,0.00019339622641509433
67344,C,1,P,SF,P,VA,47900,1,0,A,0,1,30y,768.0,47.0,97,3.625,347000.0,1,1,0.4845360824742268,0.00013544668587896254
29531,B,0,R,CO,S,CO,0,0,0,A,1,0,30y,686.0,50.0,67,4.25,548000.0,2,1,0.746268656716418,9.124087591240875e-05
47609,C,0,C,SF,P,CO,17820,0,0,A,0,0,30y,720.0,50.0,74,4.125,367000.0,2,1,0.6756756756756757,0.00013623978201634878
2126,R,0,R,SF,P,CO,24300,0,0,W,0,0,30y,777.0,45.0,62,3.625,135000.0,1,1,0.7258064516129032,0.0003333333333333333
35628,C,1,P,CO,P,VA,47900,0,0,A,0,1,30y,774.0,43.0,95,3.625,362000.0,1,1,0.45263157894736844,0.00011878453038674033
39678,R,0,C,SF,P,CO,19740,0,0,A,1,0,30y,806.0,37.0,59,3.875,541000.0,2,1,0.6271186440677966,6.839186691312385e-05
5043,C,0,C,PU,P,CO,0,0,0,A,0,0,30y,759.0,43.0,80,4.25,244000.0,2,1,0.5375,0.0001762295081967213
3326,C,0,R,SF,P,CO,0,0,0,W,0,1,30y,776.0,43.0,85,3.99,382000.0,1,1,0.5058823529411764,0.00011256544502617801
58811,R,0,R,SF,P,GA,12060,0,0,A,0,0,30y,771.0,36.0,64,3.5,203000.0,1,1,0.5625,0.0001773399014778325
36891,C,0,P,SF,S,GA,0,0,0,A,0,0,30y,721.0,42.0,80,4.0,260000.0,1,1,0.525,0.00016153846153846153
56274,R,0,C,PU,P,CO,19740,0,0,A,0,0,other,753.0,42.0,80,3.75,438000.0,2,1,0.525,9.58904109589041e-05
102043,R,1,P,SF,P,GA,0,0,0,A,0,1,30y,671.0,20.0,95,4.0,128000.0,1,1,0.21052631578947367,0.00015625
81396,R,0,P,SF,P,CO,14500,0,0,A,0,0,30y,796.0,45.0,69,3.5,450000.0,2,1,0.6521739130434783,0.0001
73056,B,0,R,PU,P,CO,22660,0,0,W,0,0,30y,796.0,20.0,60,3.375,330000.0,2,1,0.3333333333333333,6.0606060606060605e-05
4697,C,0,R,PU,P,CO,14500,0,0,W,0,0,30y,704.0,46.0,75,4.375,464000.0,1,1,0.6133333333333333,9.913793103448276e-05
5228,R,1,P,SF,P,MI,34740,0,0,A,0,1,30y,672.0,28.0,95,4.875,158000.0,1,1,0.29473684210526313,0.00017721518987341773
43091,R,0,P,CO,I,MI,19820,0,0,A,0,0,15y,798.0,29.0,75,4.599,75000.0,2,1,0.38666666666666666,0.00038666666666666667
42046,R,0,C,SF,P,OH,0,0,0,A,0,0,15y,701.0,20.0,75,3.375,90000.0,1,1,0.26666666666666666,0.00022222222222222223
89534,R,0,R,SF,P,MI,0,0,0,W,0,0,other,734.0,33.0,60,4.125,129000.0,1,1,0.55,0.0002558139534883721
40282,R,0,C,SF,I,OH,48260,0,0,A,0,0,30y,735.0,29.0,70,5.875,95000.0,1,3,0.4142857142857143,0.00030526315789473684
92687,R,0,R,CO,P,MI,0,0,0,A,0,0,30y,748.0,48.0,79,4.125,154000.0,2,1,0.6075949367088608,0.0003116883116883117
3006,C,1,P,SF,P,GA,12060,0,0,A,0,0,30y,797.0,27.0,80,3.875,167000.0,1,1,0.3375,0.00016167664670658683
27183,C,0,R,SF,P,GA,12060,0,0,A,0,0,30y,768.0,31.0,78,3.625,404000.0,1,1,0.3974358974358974,7.673267326732673e-05
13701,R,0,R,PU,P,CO,24540,0,0,W,0,0,other,789.0,16.0,28,3.5,165000.0,2,1,0.5714285714285714,9.696969696969698e-05
80049,R,0,P,PU,P,VA,16820,0,0,A,0,0,other,798.0,38.0,46,3.25,349000.0,2,1,0.8260869565217391,0.00010888252148997134
53974,R,0,C,SF,P,MI,24340,0,0,W,0,0,30y,785.0,43.0,63,3.99,250000.0,1,1,0.6825396825396826,0.000172
25099,C,0,P,CO,P,MI,19820,0,0,A,0,0,30y,791.0,32.0,65,3.75,280000.0,2,1,0.49230769230769234,0.00011428571428571428
79349,R,1,P,SF,P,GA,12060,0,0,A,0,1,30y,741.0,32.0,95,3.875,417000.0,2,1,0.3368421052631579,7.673860911270984e-05
92656,R,0,R,PU,P,CO,24540,0,0,A,0,0,30y,791.0,21.0,51,3.75,365000.0,2,1,0.4117647058823529,5.753424657534247e-05
32712,C,0,P,SF,P,CO,17820,0,0,A,0,0,30y,791.0,45.0,75,4.0,184000.0,1,2,0.6,0.00024456521739130437
73855,R,0,R,SF,P,CO,19740,0,0,W,0,0,30y,798.0,23.0,76,3.5,300000.0,1,1,0.3026315789473684,7.666666666666667e-05
77173,B,0,R,PU,P,CO,19740,0,0,W,0,0,other,696.0,32.0,32,2.625,118000.0,1,1,1.0,0.0002711864406779661
6441,C,0,R,SF,P,CO,19740,0,0,A,1,1,30y,808.0,22.0,83,3.5,523000.0,1,1,0.26506024096385544,4.2065009560229444e-05
53964,R,0,R,PU,P,CO,19740,0,0,W,0,0,15y,809.0,26.0,30,3.25,175000.0,1,1,0.8666666666666667,0.00014857142857142857
75814,R,0,R,SF,P,OH,17460,0,0,A,0,0,15y,784.0,24.0,77,3.125,215000.0,2,1,0.3116883116883117,0.00011162790697674419
56734,R,0,R,SF,P,CO,22660,0,0,W,0,0,30y,705.0,35.0,70,3.75,311000.0,2,1,0.5,0.00011254019292604502
51224,C,0,R,PU,P,CO,19740,0,0,A,0,0,30y,734.0,48.0,68,3.375,232000.0,1,1,0.7058823529411765,0.00020689655172413793
93963,R,0,R,SF,P,CO,19740,0,0,W,0,0,30y,795.0,32.0,73,3.375,510000.0,2,1,0.4383561643835616,6.274509803921569e-05
64347,R,0,R,PU,P,GA,12060,0,0,A,0,1,30y,814.0,35.0,95,3.464,392000.0,1,1,0.3684210526315789,8.928571428571429e-05
55419,R,0,R,SF,P,OH,17460,0,0,W,0,0,30y,761.0,23.0,78,3.5,255000.0,2,1,0.2948717948717949,9.019607843137255e-05
45085,C,0,R,PU,P,CO,24300,0,0,W,0,0,other,798.0,22.0,46,3.125,296000.0,2,1,0.4782608695652174,7.432432432432433e-05
69308,R,0,P,SF,P,OH,19430,0,0,A,0,0,15y,807.0,44.0,15,3.125,25000.0,1,1,2.933333333333333,0.00176
77840,R,0,R,SF,P,OH,17460,0,0,A,0,0,15y,758.0,38.0,58,3.25,120000.0,1,1,0.6551724137931034,0.00031666666666666665
8848,C,0,R,SF,P,CO,19740,0,0,A,0,1,30y,806.0,33.0,87,3.75,495000.0,2,1,0.3793103448275862,6.666666666666667e-05
69058,R,1,P,PU,P,CO,19740,0,0,A,0,1,30y,743.0,34.0,90,3.5,279000.0,1,1,0.37777777777777777,0.00012186379928315412
54966,C,1,P,PU,P,CO,24300,0,0,A,0,1,30y,770.0,32.0,97,4.0,259000.0,1,1,0.32989690721649484,0.00012355212355212355
22781,R,0,R,SF,P,CO,0,0,0,W,0,0,other,681.0,45.0,71,3.25,307000.0,2,1,0.6338028169014085,0.0001465798045602606
41594,C,0,P,CO,I,VA,47900,0,0,A,0,0,30y,795.0,39.0,54,4.25,112000.0,2,1,0.7222222222222222,0.00034821428571428574
68449,R,0,R,PU,P,VA,47900,0,0,A,0,1,30y,748.0,31.0,95,3.75,347000.0,1,1,0.3263157894736842,8.933717579250721e-05
51550,C,0,C,SF,I,VA,40060,0,0,A,0,0,30y,722.0,44.0,75,4.625,176000.0,1,1,0.5866666666666667,0.00025
61558,R,0,P,SF,P,CO,19740,0,0,A,0,1,30y,709.0,37.0,95,4.125,412000.0,2,1,0.3894736842105263,8.980582524271845e-05
71252,R,0,C,SF,P,MI,0,0,0,A,0,0,other,772.0,27.0,41,3.25,100000.0,2,1,0.6585365853658537,0.00027
1808,R,0,R,SF,I,CO,17820,0,0,A,0,0,30y,775.0,43.0,70,4.375,232000.0,2,1,0.6142857142857143,0.00018534482758620689
56508,R,0,C,PU,P,GA,12060,0,0,A,0,0,30y,706.0,37.0,37,3.75,315000.0,1,1,1.0,0.00011746031746031746
39216,R,0,P,SF,P,OH,17460,0,0,A,0,1,30y,728.0,34.0,95,3.875,242000.0,2,1,0.35789473684210527,0.00014049586776859505
26766,R,0,R,SF,P,MI,11460,0,0,A,0,1,15y,745.0,44.0,83,3.5,136000.0,2,1,0.5301204819277109,0.0003235294117647059
62381,R,1,P,PU,P,CO,17820,0,0,A,0,1,30y,811.0,19.0,95,3.625,323000.0,2,1,0.2,5.882352941176471e-05
4723,C,0,C,PU,P,CO,24540,0,0,A,0,0,30y,736.0,41.0,80,4.5,406000.0,2,1,0.5125,0.00010098522167487684
9359,R,0,C,SF,P,CO,19740,0,0,W,0,0,30y,780.0,45.0,70,3.875,231000.0,1,1,0.6428571428571429,0.0001948051948051948
32119,R,0,C,SF,P,CO,24300,0,0,A,0,0,30y,780.0,35.0,80,3.99,135000.0,1,1,0.4375,0.00025925925925925926
92912,C,0,P,PU,P,VA,40060,0,0,A,0,0,30y,667.0,18.0,70,4.375,450000.0,1,1,0.2571428571428571,4e-05
6932,R,0,R,SF,P,OH,17460,0,0,W,0,1,other,719.0,48.0,89,4.125,206000.0,1,1,0.5393258426966292,0.00023300970873786408
41507,C,0,R,SF,P,OH,17140,0,0,A,0,1,30y,750.0,43.0,95,3.875,200000.0,1,1,0.45263157894736844,0.000215
70303,R,0,R,SF,P,OH,31900,0,0,W,0,0,other,750.0,19.0,60,3.875,101000.0,2,1,0.31666666666666665,0.00018811881188118812
83383,R,0,P,PU,S,CO,0,0,0,A,0,0,30y,730.0,40.0,80,3.875,504000.0,2,1,0.5,7.936507936507937e-05
96904,R,0,P,PU,P,GA,12060,0,0,A,0,0,30y,793.0,26.0,80,3.75,301000.0,2,1,0.325,8.637873754152824e-05
15932,R,0,P,PU,P,CO,24300,1,0,W,0,0,30y,820.0,37.0,63,4.0,235000.0,2,1,0.5873015873015873,0.0001574468085106383
23816,R,0,R,SF,P,VA,16820,0,0,W,0,0,other,797.0,38.0,70,3.375,258000.0,2,1,0.5428571428571428,0.00014728682170542636
102311,C,0,R,SF,P,MI,19820,0,0,A,0,0,15y,764.0,44.0,79,3.5,330000.0,1,1,0.5569620253164557,0.00013333333333333334
2992,R,0,P,PU,P,CO,24540,0,0,A,0,0,30y,728.0,31.0,80,3.875,335000.0,1,1,0.3875,9.253731343283582e-05
60495,R,0,R,SF,P,OH,17460,0,0,W,0,0,30y,716.0,25.0,74,3.99,209000.0,1,1,0.33783783783783783,0.00011961722488038278
51838,C,0,R,PU,P,CO,19740,0,0,W,0,0,30y,801.0,12.0,60,3.5,319000.0,2,1,0.2,3.761755485893417e-05
91602,B,1,P,SF,P,MI,19820,0,0,A,0,1,30y,747.0,44.0,97,4.1,228000.0,2,1,0.4536082474226804,0.00019298245614035088
73840,R,0,R,SF,P,MI,19820,0,0,W,0,0,30y,725.0,15.0,55,3.5,192000.0,1,1,0.2727272727272727,7.8125e-05
50869,C,0,R,PU,S,MI,0,0,0,W,0,0,30y,729.0,36.0,75,3.5,103000.0,2,1,0.48,0.0003495145631067961
7263,R,0,C,SF,P,GA,12060,0,0,W,0,0,30y,662.0,25.0,64,4.25,265000.0,1,1,0.390625,9.433962264150943e-05
86620,R,0,C,PU,P,CO,19740,0,0,A,0,0,30y,765.0,25.0,73,4.375,200000.0,3,1,0.3424657534246575,0.000125
61849,C,0,C,SF,P,OH,18140,0,0,A,0,0,30y,709.0,45.0,67,4.25,170000.0,1,1,0.6716417910447762,0.00026470588235294115
82582,B,0,R,PU,P,CO,19740,0,0,W,0,0,30y,803.0,45.0,80,3.375,446000.0,1,1,0.5625,0.00010089686098654709
2358,R,0,C,SF,P,GA,42340,0,0,A,0,0,30y,743.0,20.0,72,3.875,282000.0,1,1,0.2777777777777778,7.092198581560284e-05
97298,R,0,R,PU,P,OH,15940,0,0,A,0,0,15y,666.0,20.0,38,2.99,103000.0,1,1,0.5263157894736842,0.0001941747572815534
31101,C,1,P,SF,P,VA,47260,0,0,A,0,1,30y,753.0,26.0,97,3.75,347000.0,1,1,0.26804123711340205,7.492795389048991e-05
49956,B,0,C,PU,P,OH,18140,0,0,W,0,0,30y,676.0,33.0,60,3.875,264000.0,2,1,0.55,0.000125
85936,B,0,P,PU,P,GA,12060,0,0,A,0,1,30y,786.0,40.0,95,3.49,342000.0,2,1,0.42105263157894735,0.00011695906432748539
55985,C,0,R,SF,P,OH,17140,0,0,A,0,0,30y,697.0,46.0,70,3.75,500000.0,1,1,0.6571428571428571,9.2e-05
79272,R,0,C,SF,P,CO,22660,0,0,W,0,0,30y,771.0,33.0,58,3.375,236000.0,2,1,0.5689655172413793,0.00013983050847457627
10912,R,0,R,SF,P,GA,12060,0,0,A,0,0,30y,742.0,45.0,36,3.75,162000.0,1,1,1.25,0.0002777777777777778
52285,B,0,R,SF,P,MI,11460,0,0,W,0,0,15y,662.0,48.0,58,3.82,120000.0,1,1,0.8275862068965517,0.0004
88133,R,0,R,PU,P,CO,24300,0,0,A,0,0,30y,720.0,40.0,60,3.375,204000.0,1,1,0.6666666666666666,0.000196078431372549
12570,R,0,P,CO,P,VA,47900,0,0,A,0,1,30y,798.0,34.0,95,3.625,306000.0,1,1,0.35789473684210527,0.00011111111111111112
35945,R,0,P,SF,P,MI,0,0,0,A,0,1,30y,773.0,45.0,95,3.5,152000.0,1,1,0.47368421052631576,0.0002960526315789474
46909,R,0,R,SF,P,GA,23580,0,0,A,0,0,30y,798.0,18.0,73,3.625,402000.0,2,1,0.2465753424657534,4.477611940298508e-05
81952,R,0,P,PU,P,GA,12060,0,0,A,0,1,30y,752.0,41.0,90,4.0,332000.0,1,1,0.45555555555555555,0.00012349397590361445
8153,C,0,P,PU,P,MI,11460,0,0,A,0,1,30y,774.0,47.0,90,4.0,219000.0,1,1,0.5222222222222223,0.00021461187214611872
46010,R,0,C,SF,P,MI,0,0,0,A,0,0,other,758.0,30.0,78,3.875,130000.0,1,1,0.38461538461538464,0.00023076923076923076
42269,C,0,R,PU,S,CO,0,0,0,W,0,0,30y,790.0,33.0,80,3.875,359000.0,2,1,0.4125,9.192200557103063e-05
33906,C,1,P,CO,P,GA,12060,1,0,A,0,1,30y,718.0,48.0,85,4.0,124000.0,1,1,0.5647058823529412,0.0003870967741935484
16163,C,0,R,CO,P,GA,42340,0,0,W,0,1,30y,717.0,29.0,84,3.5,293000.0,1,1,0.34523809523809523,9.897610921501707e-05
87089,B,0,R,PU,P,GA,12060,0,0,A,0,0,other,801.0,21.0,75,3.25,312000.0,1,1,0.28,6.73076923076923e-05
26991,R,0,R,SF,P,MI,12980,0,0,W,0,0,other,803.0,43.0,79,4.25,103000.0,1,1,0.5443037974683544,0.0004174757281553398
85206,R,0,R,PU,P,VA,47260,0,0,A,0,0,30y,791.0,29.0,69,3.75,191000.0,1,1,0.42028985507246375,0.00015183246073298428
29019,R,0,C,PU,P,MI,19820,0,0,W,0,0,15y,735.0,42.0,63,3.625,180000.0,1,1,0.6666666666666666,0.00023333333333333333
79160,C,1,P,SF,P,GA,12060,0,0,A,0,0,15y,714.0,47.0,80,3.125,380000.0,1,1,0.5875,0.0001236842105263158
95793,C,0,C,CO,P,VA,40060,0,0,A,0,0,30y,714.0,44.0,68,3.75,210000.0,1,1,0.6470588235294118,0.0002095238095238095
79431,R,0,P,SF,P,OH,19430,0,0,A,0,1,30y,792.0,43.0,95,3.625,323000.0,1,1,0.45263157894736844,0.00013312693498452013
36974,C,0,C,CO,P,OH,17140,0,0,A,0,0,30y,671.0,40.0,80,4.875,143000.0,1,1,0.5,0.0002797202797202797
70654,R,0,R,SF,P,MI,24340,0,0,A,0,0,30y,814.0,35.0,69,3.5,448000.0,2,1,0.5072463768115942,7.8125e-05
37751,B,0,R,PU,I,CO,14500,0,0,W,0,0,other,770.0,39.0,72,4.25,382000.0,1,1,0.5416666666666666,0.00010209424083769633
6217,B,1,P,PU,P,CO,19740,0,0,A,0,0,30y,798.0,24.0,73,3.625,404000.0,1,1,0.3287671232876712,5.9405940594059404e-05
50737,R,1,P,SF,P,OH,17140,0,0,A,0,1,30y,747.0,46.0,95,3.99,237000.0,1,1,0.4842105263157895,0.0001940928270042194
5335,R,0,P,SF,S,MI,0,0,0,A,0,0,30y,763.0,36.0,80,4.125,68000.0,1,1,0.45,0.0005294117647058823
